GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
banking-system,com.banco.bankingsystem.controller,ReporteController,0,13,0,0,0,4,0,2,0,2
banking-system,com.banco.bankingsystem.controller,MovimientoController,0,47,0,0,0,11,0,7,0,7
banking-system,com.banco.bankingsystem.controller,ClienteController,0,47,0,0,0,11,0,7,0,7
banking-system,com.banco.bankingsystem.controller,CuentaController,0,47,0,0,0,11,0,7,0,7
banking-system,com.banco.bankingsystem.strategy,MovimientoStrategyFactory,10,26,2,2,1,8,3,3,1,3
banking-system,com.banco.bankingsystem.strategy,CreditoStrategy,0,16,1,3,0,3,1,4,0,3
banking-system,com.banco.bankingsystem.strategy,DebitoStrategy,1,32,2,6,0,8,2,5,0,3
banking-system,com.banco.bankingsystem.service.impl,MovimientoServiceImpl,23,287,6,16,1,72,7,20,2,14
banking-system,com.banco.bankingsystem.service.impl,ReportePdfGenerator,9,232,0,4,2,25,0,4,0,2
banking-system,com.banco.bankingsystem.service.impl,ReporteServiceImpl,0,137,0,4,0,40,0,8,0,6
banking-system,com.banco.bankingsystem.service.impl,ClienteServiceImpl,9,299,4,12,0,59,4,16,1,11
banking-system,com.banco.bankingsystem.service.impl,CuentaServiceImpl,17,272,2,8,2,58,3,16,1,13
banking-system,com.banco.bankingsystem.exception,CupoDiarioExcedidoException,0,4,0,0,0,2,0,1,0,1
banking-system,com.banco.bankingsystem.exception,GlobalExceptionHandler,0,77,0,0,0,16,0,9,0,9
banking-system,com.banco.bankingsystem.exception,SaldoNoDisponibleException,0,4,0,0,0,2,0,1,0,1
banking-system,com.banco.bankingsystem.exception,RecursoNoEncontradoException,0,4,0,0,0,2,0,1,0,1
banking-system,com.banco.bankingsystem.exception,GlobalExceptionHandler.ErrorResponse,202,33,40,0,1,6,29,6,9,6
banking-system,com.banco.bankingsystem.exception,ReglaNegocioException,0,4,0,0,0,2,0,1,0,1
banking-system,com.banco.bankingsystem.domain,TipoCuenta,0,15,0,0,0,3,0,1,0,1
banking-system,com.banco.bankingsystem.domain,Cuenta,0,38,0,0,0,7,0,11,0,11
banking-system,com.banco.bankingsystem.domain,Movimiento,0,45,0,0,0,8,0,13,0,13
banking-system,com.banco.bankingsystem.domain,TipoMovimiento,0,15,0,0,0,3,0,1,0,1
banking-system,com.banco.bankingsystem.domain,Cliente,0,24,0,0,0,5,0,7,0,7
